,监测点,AQI,质量等级,PM2.5浓度(1小时),主要污染物
1,茂石化七小,25,优,8,颗粒物（PM10）
2,健康路,0,优,--,颗粒物（PM10）
3,高岭,0,优,1,颗粒物（PM10）
0,环保大楼,28,优,15,颗粒物（PM10）
1,文化广场,28,优,17,颗粒物（PM10）
2,第一医院,30,优,6,颗粒物（PM10）
3,机车工厂,28,优,11,颗粒物（PM10）
4,第一中学,29,优,13,颗粒物（PM10）
0,富乐山,59,良,30,颗粒物（PM10）
1,市人大,94,良,29,颗粒物（PM10）
2,高新区自来水公司,110,轻度污染,28,颗粒物（PM10）
3,三水厂,109,轻度污染,31,颗粒物（PM10）
0,蟆颐观,88,良,19,颗粒物（PM10）
1,气象局,60,良,6,颗粒物（PM10）
2,旭光小区,0,优,--,颗粒物（PM10）
3,市监测站,0,优,--,颗粒物（PM10）
4,市委党校,75,良,23,颗粒物（PM10）
5,区人社局,50,优,15,颗粒物（PM10）
0,茫荡山,21,优,14,颗粒物（PM10）
1,南平市监测站,20,优,10,颗粒物（PM10）
2,南平铝业有限公司,19,优,6,颗粒物（PM10）
3,南平七中,35,优,10,颗粒物（PM10）
0,金涵水库,77,良,56,颗粒物（PM10）
1,蕉城区农机局,0,优,--,颗粒物（PM10）
2,宁德市监测站,52,良,33,颗粒物（PM10）
3,金涵水库(对照点),67,良,48,颗粒物（PM10）
4,宁德一中(20190319启用),0,优,75,颗粒物（PM10）
5,宁德一中,62,良,39,颗粒物（PM10）
0,环保局,72,良,24,颗粒物（PM10）
1,瓦房庄,84,良,20,颗粒物（PM10）
2,汉画馆,67,良,28,颗粒物（PM10）
3,气象站,102,轻度污染,76,颗粒物（PM10）
4,理工学院,59,良,30,颗粒物（PM10）
5,环保局,74,良,25,颗粒物（PM10）
0,迈皋桥,70,良,22,颗粒物（PM10）
1,草场门,71,良,24,颗粒物（PM10）
2,山西路,0,优,--,颗粒物（PM10）
3,中华门,65,良,17,颗粒物（PM10）
4,瑞金路,76,良,29,颗粒物（PM10）
